2009-10-19 05:06:38 status half-installed base-passwd 3.5.21
2009-10-19 05:06:38 status half-installed base-passwd 3.5.21
2009-10-19 05:06:38 status unpacked base-passwd 3.5.21
2009-10-19 05:06:38 status unpacked base-passwd 3.5.21
2009-10-19 05:06:38 install bash <none> 3.2-5ubuntu1
2009-10-19 05:06:38 status half-installed bash 3.2-5ubuntu1
2009-10-19 05:06:38 status unpacked bash 3.2-5ubuntu1
2009-10-19 05:06:38 status unpacked bash 3.2-5ubuntu1
2009-10-19 05:06:38 install bsdutils <none> 1:2.14.2-1ubuntu4
2009-10-19 05:06:38 status half-installed bsdutils 1:2.14.2-1ubuntu4
2009-10-19 05:06:39 status unpacked bsdutils 1:2.14.2-1ubuntu4
2009-10-19 05:06:39 status unpacked bsdutils 1:2.14.2-1ubuntu4
2009-10-19 05:06:39 install coreutils <none> 6.10-6ubuntu1
2009-10-19 05:06:39 status half-installed coreutils 6.10-6ubuntu1
2009-10-19 05:06:41 status unpacked coreutils 6.10-6ubuntu1
2009-10-19 05:06:41 status unpacked coreutils 6.10-6ubuntu1
2009-10-19 05:06:41 install dash <none> 0.5.4-12ubuntu2
2009-10-19 05:06:41 status half-installed dash 0.5.4-12ubuntu2
2009-10-19 05:06:41 status unpacked dash 0.5.4-12ubuntu2
2009-10-19 05:06:41 status unpacked dash 0.5.4-12ubuntu2
2009-10-19 05:06:41 upgrade debconf 1.5.26ubuntu3 1.5.26ubuntu3
2009-10-19 05:06:41 status half-configured debconf 1.5.26ubuntu3
2009-10-19 05:06:41 status unpacked debconf 1.5.26ubuntu3
2009-10-19 05:06:41 status half-installed debconf 1.5.26ubuntu3
2009-10-19 05:06:41 status half-installed debconf 1.5.26ubuntu3
2009-10-19 05:06:41 status unpacked debconf 1.5.26ubuntu3
2009-10-19 05:06:41 status unpacked debconf 1.5.26ubuntu3
2009-10-19 05:06:42 install debconf-i18n <none> 1.5.26ubuntu3
2009-10-19 05:06:42 status half-installed debconf-i18n 1.5.26ubuntu3
2009-10-19 05:06:42 status unpacked debconf-i18n 1.5.26ubuntu3
2009-10-19 05:06:42 status unpacked debconf-i18n 1.5.26ubuntu3
2009-10-19 05:06:42 install debianutils <none> 2.30ubuntu3
2009-10-19 05:06:42 status half-installed debianutils 2.30ubuntu3
2009-10-19 05:06:42 status unpacked debianutils 2.30ubuntu3
2009-10-19 05:06:42 status unpacked debianutils 2.30ubuntu3
2009-10-19 05:06:42 install diff <none> 2.8.1-12ubuntu1
2009-10-19 05:06:42 status half-installed diff 2.8.1-12ubuntu1
2009-10-19 05:06:42 status unpacked diff 2.8.1-12ubuntu1
2009-10-19 05:06:42 status unpacked diff 2.8.1-12ubuntu1
2009-10-19 05:06:42 upgrade dpkg 1.14.24ubuntu1 1.14.24ubuntu1
2009-10-19 05:06:42 status half-configured dpkg 1.14.24ubuntu1
2009-10-19 05:06:42 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:42 status half-installed dpkg 1.14.24ubuntu1
2009-10-19 05:06:43 status half-installed dpkg 1.14.24ubuntu1
2009-10-19 05:06:43 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:43 status unpacked dpkg 1.14.24ubuntu1
2009-10-19 05:06:43 install e2fslibs <none> 1.41.4-1ubuntu1
2009-10-19 05:06:43 status half-installed e2fslibs 1.41.4-1ubuntu1
2009-10-19 05:06:43 status unpacked e2fslibs 1.41.4-1ubuntu1
2009-10-19 05:06:43 status unpacked e2fslibs 1.41.4-1ubuntu1
2009-10-19 05:06:43 install e2fsprogs <none> 1.41.4-1ubuntu1
2009-10-19 05:06:43 status half-installed e2fsprogs 1.41.4-1ubuntu1
2009-10-19 05:06:44 status unpacked e2fsprogs 1.41.4-1ubuntu1
2009-10-19 05:06:44 status unpacked e2fsprogs 1.41.4-1ubuntu1
2009-10-19 05:06:44 install findutils <none> 4.4.0-2ubuntu3
2009-10-19 05:06:44 status half-installed findutils 4.4.0-2ubuntu3
2009-10-19 05:06:44 status unpacked findutils 4.4.0-2ubuntu3
2009-10-19 05:06:44 status unpacked findutils 4.4.0-2ubuntu3
2009-10-19 05:06:44 install gcc-4.3-base <none> 4.3.3-5ubuntu4
2009-10-19 05:06:44 status half-installed gcc-4.3-base 4.3.3-5ubuntu4
2009-10-19 05:06:44 status unpacked gcc-4.3-base 4.3.3-5ubuntu4
2009-10-19 05:06:44 status unpacked gcc-4.3-base 4.3.3-5ubuntu4
2009-10-19 05:06:44 install grep <none> 2.5.3~dfsg-6ubuntu1
2009-10-19 05:06:44 status half-installed grep 2.5.3~dfsg-6ubuntu1
2009-10-19 05:06:44 status unpacked grep 2.5.3~dfsg-6ubuntu1
2009-10-19 05:06:44 status unpacked grep 2.5.3~dfsg-6ubuntu1
2009-10-19 05:06:44 install gzip <none> 1.3.12-6ubuntu2
2009-10-19 05:06:44 status half-installed gzip 1.3.12-6ubuntu2
2009-10-19 05:06:44 status unpacked gzip 1.3.12-6ubuntu2
2009-10-19 05:06:44 status unpacked gzip 1.3.12-6ubuntu2
2009-10-19 05:06:44 install hostname <none> 2.95
2009-10-19 05:06:44 status half-installed hostname 2.95
2009-10-19 05:06:44 status unpacked hostname 2.95
2009-10-19 05:06:44 status unpacked hostname 2.95
2009-10-19 05:06:44 install initscripts <none> 2.86.ds1-61ubuntu11
2009-10-19 05:06:44 status half-installed initscripts 2.86.ds1-61ubuntu11
2009-10-19 05:06:45 status unpacked initscripts 2.86.ds1-61ubuntu11
2009-10-19 05:06:45 status unpacked initscripts 2.86.ds1-61ubuntu11
2009-10-19 05:06:45 install libacl1 <none> 2.2.47-2
2009-10-19 05:06:45 status half-installed libacl1 2.2.47-2
2009-10-19 05:06:45 status unpacked libacl1 2.2.47-2
2009-10-19 05:06:45 status unpacked libacl1 2.2.47-2
